Year,Season,Month,Time,# Seats
2022,winter,12,12AM-8AM,13.67935484
2022,winter,12,8AM-4PM,5.332903226
2022,winter,12,4PM-12AM,9.767096774
2022,winter,1,12AM-8AM,13.71741935
2022,winter,1,8AM-4PM,5.448387097
2022,winter,1,4PM-12AM,9.489032258
2022,winter,2,12AM-8AM,13.54357143
2022,winter,2,8AM-4PM,5.484285714
2022,winter,2,4PM-12AM,9.411428571
2022,spring,3,12AM-8AM,12.66193548
2022,spring,3,8AM-4PM,6.355483871
2022,spring,3,4PM-12AM,9.475483871
2022,spring,4,12AM-8AM,12.722
2022,spring,4,8AM-4PM,6.312666667
2022,spring,4,4PM-12AM,9.464
2022,spring,5,12AM-8AM,12.24064516
2022,spring,5,8AM-4PM,6.501935484
2022,spring,5,4PM-12AM,9.356774194
2022,summer,6,12AM-8AM,13.398
2022,summer,6,8AM-4PM,5.646
2022,summer,6,4PM-12AM,9.512
2022,summer,7,12AM-8AM,13.47290323
2022,summer,7,8AM-4PM,5.325806452
2022,summer,7,4PM-12AM,9.497419355
2022,summer,8,12AM-8AM,13.44516129
2022,summer,8,8AM-4PM,5.598709677
2022,summer,8,4PM-12AM,9.607741935
2022,fall,9,12AM-8AM,12.62266667
2022,fall,9,8AM-4PM,6.386
2022,fall,9,4PM-12AM,9.536
2022,fall,10,12AM-8AM,12.62774194
2022,fall,10,8AM-4PM,6.323225806
2022,fall,10,4PM-12AM,9.376774194
2022,fall,11,12AM-8AM,12.474
2022,fall,11,8AM-4PM,6.794666667
2022,fall,11,4PM-12AM,9.394
2023,winter,12,12AM-8AM,13.62129032
2023,winter,12,8AM-4PM,5.42516129
2023,winter,12,4PM-12AM,9.434193548
2023,winter,1,12AM-8AM,13.63935484
2023,winter,1,8AM-4PM,5.298064516
2023,winter,1,4PM-12AM,9.509032258
2023,winter,2,12AM-8AM,13.73928571
2023,winter,2,8AM-4PM,5.423571429
2023,winter,2,4PM-12AM,9.74
2023,spring,3,12AM-8AM,12.56451613
2023,spring,3,8AM-4PM,6.543225806
2023,spring,3,4PM-12AM,9.398709677
2023,spring,4,12AM-8AM,12.36866667
2023,spring,4,8AM-4PM,6.576666667
2023,spring,4,4PM-12AM,9.613333333
2023,spring,5,12AM-8AM,12.39419355
2023,spring,5,8AM-4PM,6.57483871
2023,spring,5,4PM-12AM,9.677419355
2023,summer,6,12AM-8AM,13.63666667
2023,summer,6,8AM-4PM,5.540666667
2023,summer,6,4PM-12AM,9.504
2023,summer,7,12AM-8AM,13.46064516
2023,summer,7,8AM-4PM,5.483225806
2023,summer,7,4PM-12AM,9.69483871
2023,summer,8,12AM-8AM,13.54129032
2023,summer,8,8AM-4PM,5.397419355
2023,summer,8,4PM-12AM,9.513548387
2023,fall,9,12AM-8AM,12.514
2023,fall,9,8AM-4PM,6.4
2023,fall,9,4PM-12AM,9.608666667
2023,fall,10,12AM-8AM,12.39483871
2023,fall,10,8AM-4PM,6.631612903
2023,fall,10,4PM-12AM,9.481290323
2023,fall,11,12AM-8AM,12.51733333
2023,fall,11,8AM-4PM,6.577333333
2023,fall,11,4PM-12AM,9.768666667
2024,winter,12,12AM-8AM,13.80645161
2024,winter,12,8AM-4PM,5.431612903
2024,winter,12,4PM-12AM,9.350967742
2024,winter,1,12AM-8AM,13.62064516
2024,winter,1,8AM-4PM,5.451612903
2024,winter,1,4PM-12AM,9.32
2024,winter,2,12AM-8AM,13.66896552
2024,winter,2,8AM-4PM,5.415172414
2024,winter,2,4PM-12AM,9.608275862
2024,spring,3,12AM-8AM,12.45354839
2024,spring,3,8AM-4PM,6.532258065
2024,spring,3,4PM-12AM,9.594193548
2024,spring,4,12AM-8AM,12.55866667
2024,spring,4,8AM-4PM,6.167333333
2024,spring,4,4PM-12AM,9.428
2024,spring,5,12AM-8AM,12.7083871
2024,spring,5,8AM-4PM,6.652903226
2024,spring,5,4PM-12AM,9.523225806
2024,summer,6,12AM-8AM,13.47866667
2024,summer,6,8AM-4PM,5.427333333
2024,summer,6,4PM-12AM,9.512
2024,summer,7,12AM-8AM,13.42967742
2024,summer,7,8AM-4PM,5.481290323
2024,summer,7,4PM-12AM,9.37483871
